错误类型,源,工作,语言,句段,链接
拼写,生态摄影师野保联盟，以“让动物与人类共享生命之美”为愿景，集合各发起方的资源和力量，推动野生动物影像向公众的传播，促进自然摄影爱好者走进生态摄影师行列，加大对野生动物栖息地野保组织和公益人物的支持，普及野生动物保护和自然生态知识，让生态文化和野保行动走向公众。,2015春季通讯,en,97,跳到句段
拼写,“抢救大鸨行动”是生态摄影师野保联盟成立后的首个物种保护项目。,2015春季通讯,en,79,跳到句段
拼写,1月10日，“生态摄影师野生动物保护联盟”宣布成立，并且启动了一个名为“抢救大鸨行动”的公益活动。,2015春季通讯,en,94,跳到句段
拼写,生态摄影师野生动物保护联盟由中国最大的生态摄影门户“鸟网”、中华社会救助基金会让候鸟飞公益基金公益基金、国内第一家动物保护基金会北京爱它动物保护公益基金会、中国公益摄影师协会、国内领先的影像艺术机构“雅昌影像”联合发起成立。,2015春季通讯,en,95,跳到句段
拼写,生态摄影师野保联盟，以“让动物与人类共享生命之美”为愿景，集合各发起方的资源和力量，推动野生动物影像向公众的传播，促进自然摄影爱好者走进生态摄影师行列，加大对野生动物栖息地野保组织和公益人物的支持，普及野生动物保护和自然生态知识，让生态文化和野保行动走向公众。,2015春季通讯,en,97,跳到句段
拼写,生态摄影师野生动物保护联盟启动仪式得到了央视新闻频道的报道。,2015春季通讯,en,98,跳到句段
拼写,蔡国庆、成方圆、马艳丽、李艾、杨若兮等知名人士积极参与。,2014及以前,en,42,跳到句段
拼写,拥有六十万发行量的《悦己SELF》杂志也慷慨地提出与我们合作，为十位明星及运动达人拍摄了“灰丝带”主题大片，倡导健康的人、宠关系，传播科学防控狂犬病的知识。,2015秋季通讯,en,19,跳到句段
拼写,我们与青年艺术家顾湘合作制作了穿山甲主题T恤；在艺集文化  发展公司的帮助下，拍卖了青年雕塑家袁贝贝的穿山甲雕塑。,2015夏季通讯,en,17,跳到句段
拼写,蔡国庆、成方圆、马艳丽、李艾、杨若兮等知名人士积极参与。,2014及以前,en,42,跳到句段
拼写,4月24日，它基金与人道对待动物协会合作启动“保护穿山甲项目”。,2015夏季通讯,en,15,跳到句段
拼写,九月三日，我们与国际人道对待动物协会签署了穿山甲保护项目战略合作协议。,2015秋季通讯,en,23,跳到句段
拼写,九月四日，国际人道对待动物协会项目主管何燕青女士为几十个孩子做了一次精彩的穿山甲保护讲座。,2015秋季通讯,en,24,跳到句段
拼写,从2015年夏天开始，我们就与深圳华强数字动漫有限公司出品的《熊出没之熊心归来》讨论了公益宣传方面的合作。,2015冬季通讯,en,20,跳到句段
拼写,从1月份开始，它基金与中国农业国际合作促进会动物福利国际合作委员会取得联系，共同商讨有关合作推进农场动物福利的计划。,2015春季通讯,en,100,跳到句段
拼写,它基金决定作为特别支持方参与动物福利国际合作委员会举办的“2015中欧生猪发展大会”，并将在会议期间举办一场关于农场动物福利的记者沙龙。,2015春季通讯,en,101,跳到句段
拼写,4月16日和17日，中国农业国际合作促进会动物福利国际合作委员 会（ICCAW）举办了“2015中欧生猪发展大会”。,2015夏季通讯,en,13,跳到句段
拼写,它基金理事长为国际爱护动物基金会(IFAW)“拯救大象罗拉”项目拍摄的公益广告，呼吁保护野生动物是我们应尽的责任。,2014及以前,en,5,跳到句段
拼写,11月底，它基金与如果宠物、艺典中国合作的“暖冬猫窝”行动圆满结束，我们用明星物品的拍款购置了100个猫窝，为冬日流浪猫送去温暖。,2015冬季通讯,en,42,跳到句段
拼写,它基金联合72名知名人士正式致函证监会，反对从事活熊取胆的福建归真堂药业的上市申请。,2014及以前,en,31,跳到句段
拼写,我们的它radio项目入选“iTunes Podcast 2015年度精选”。,2015冬季通讯,en,30,跳到句段
拼写,1月3日北京爱它动物保护公益基金会第二届理事会第四次会议成功召开；,2015春季通讯,en,113,跳到句段
拼写,央视主持人、它基金理事康辉强调了活熊取胆这个行业不符合我们国家在十三五期间大力倡导的创新、协调、绿色、开放和共享的五大发展理念；前国家首席兽医师、中国兽医协会会长贾幼陵也以资深兽医的身份讲解了无管引流对黑熊健康造成的巨大伤害，他还呼吁兽医从业者都不要做这样伤害动物的事情。,2015冬季通讯,en,28,跳到句段
拼写,金丹若国际微电影艺术节上，本片女一号戴娇倩凭借此片，荣获最佳女演员奖。,2014及以前,en,16,跳到句段
拼写,著名歌手齐秦、萧敬腾、朱茵、康辉等热情地帮助宣传“灰丝带”行动。,2014及以前,en,9,跳到句段
拼写,模仿习总的口气，我要给我的同事和它基金的支持者们点赞。,2015春季通讯,en,24,跳到句段
拼写,著名歌手齐秦、萧敬腾、朱茵、康辉等热情地帮助宣传“灰丝带”行动。,2014及以前,en,9,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,它基金理事、央视主持人张越、康辉，以及它基金第一任理事长、著名主持人李静参加了项目的启动仪式。,2015冬季通讯,en,14,跳到句段
拼写,央视主持人、它基金理事康辉强调了活熊取胆这个行业不符合我们国家在十三五期间大力倡导的创新、协调、绿色、开放和共享的五大发展理念；前国家首席兽医师、中国兽医协会会长贾幼陵也以资深兽医的身份讲解了无管引流对黑熊健康造成的巨大伤害，他还呼吁兽医从业者都不要做这样伤害动物的事情。,2015冬季通讯,en,28,跳到句段
拼写,理  事长张越和康辉等理事一起听取了执行团队的工作汇报和下半年的工作计划。,2015夏季通讯,en,32,跳到句段
拼写,它基金理事，央视著名主持人张越、康辉联名推荐了本书。,2015春季通讯,en,70,跳到句段
拼写,北京大学法学院教授湛中乐、中国人民大学法学院教授周珂等众多法学界专业人士和动物保护组织的代表共一百余人参加了这次会议。,2015春季通讯,en,34,跳到句段
拼写,1月，我们购买了“灵析”客户管理软件，用于管理会员及志愿者数据库。,2015春季通讯,en,108,跳到句段
拼写,我们的理事长张越女士，著名编剧史航先生、北京人民广播电台著名主持人刘思伽女士以及它radio主播韩涛先生和来自不同地方的热心听众一起，朗读了它radio过往的精选节目，分享了他们各自与动物之间感人至深的故事。,2015秋季通讯,en,21,跳到句段
拼写,2015年3月9日，它基金创办了自己的音频节目，这是中国大陆第一家动物保护公益电台，在荔枝fm、喜马拉雅fm、蜻蜓fm等互联网音频平台上每天播出真实的动物情感故事。,2015春季通讯,en,63,跳到句段
拼写,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
拼写,全国人大常委会高度重视，将法案的修订列入了人大常委会的修法计划。,2015春季通讯,en,51,跳到句段
拼写,罗代表透露，今年12月，《野生动物保护法》的修订工作就可能完成。,2015春季通讯,en,52,跳到句段
拼写,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
拼写,它基金携手雀巢宠优举办关爱流浪动物“帮助它”大型宣传活动。,2014及以前,en,11,跳到句段
拼写,这次会议的主要议题是《野生动物保护法》的修订问题，是政府智库与民间机构合作的一次有益尝试。,2015春季通讯,en,30,跳到句段
拼写,我们在北京图书大厦举行了新书发布会及现场签售活动。,2015夏季通讯,en,12,跳到句段
拼写,我们在北京图书大厦举行了新书发布会及现场签售活动。,2015夏季通讯,en,12,跳到句段
拼写,2015年，我们与国务院发展研究中心资源与环境政策研究所密切合作，深度参与了全国人大有关修改《野生动物保护法》的工作。,2015冬季通讯,en,7,跳到句段
拼写,2015年12月30日到2016年1月29日，全国人大就《野生动物保护法》公开征求意见。,2015冬季通讯,en,9,跳到句段
拼写,5月24日，它基金与全国人大环资委法案室和国务院发展研究中心一起，组织召开了“《野生动物保护法》修改座谈会”。,2015夏季通讯,en,26,跳到句段
拼写,全国人大法制工作委员会以及环境与资源保护委员会的官员全程参加了会议，认真听取了与会者提出的《野生动物保护法》修改意见。,2015春季通讯,en,31,跳到句段
拼写,2015年3月，在全国两会期间，不少人大代表、政协委员呼吁加快动物保护立法进程。,2015春季通讯,en,47,跳到句段
拼写,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
拼写,我们投入了大量资金，开始建设包括它radio，它视频、它出版和它在线在内的传播渠道。,2015春季通讯,en,56,跳到句段
拼写,1月，我们购买了“灵析”客户管理软件，用于管理会员及志愿者数据库。,2015春季通讯,en,108,跳到句段
拼写,我们精心制作并在网络上广泛推广了一部动画形式的公益短片《中国是疫区，这是谣言吗？,2015秋季通讯,en,17,跳到句段
拼写,如果您还没有访问过我们的新网站，别忘了去看看（tajijin.org）。,2015夏季通讯,en,24,跳到句段
拼写,tajijin.org,2015春季通讯,en,120,跳到句段
拼写,我们的它radio项目入选“iTunes Podcast 2015年度精选”。,2015冬季通讯,en,30,跳到句段
拼写,著名歌手齐秦、萧敬腾、朱茵、康辉等热情地帮助宣传“灰丝带”行动。,2014及以前,en,9,跳到句段
拼写,它基金联合腾讯公益慈善基金会在北京世贸天阶举行了世界野生动物保护日“手护行动”启动仪式，齐秦、李小冉、信联袂担任“手护大使”。,2014及以前,en,29,跳到句段
拼写,著名歌手齐秦、萧敬腾、朱茵、康辉等热情地帮助宣传“灰丝带”行动。,2014及以前,en,9,跳到句段
拼写,它基金联合腾讯公益慈善基金会在北京世贸天阶举行了世界野生动物保护日“手护行动”启动仪式，齐秦、李小冉、信联袂担任“手护大使”。,2014及以前,en,29,跳到句段
拼写,2015年3月9日，它基金创办了自己的音频节目，这是中国大陆第一家动物保护公益电台，在荔枝fm、喜马拉雅fm、蜻蜓fm等互联网音频平台上每天播出真实的动物情感故事。,2015春季通讯,en,63,跳到句段
拼写,它基金与陈晓东先生合作印刷出版了《天鹅之痛》的修订版，并邀请了中国野生动物保护协会副秘书长李青文作序。,2015春季通讯,en,69,跳到句段
拼写,我们在北京图书大厦举行了新书发布会及现场签售活动。,2015夏季通讯,en,12,跳到句段
拼写,北京大学法学院教授湛中乐、中国人民大学法学院教授周珂等众多法学界专业人士和动物保护组织的代表共一百余人参加了这次会议。,2015春季通讯,en,34,跳到句段
拼写,“中国保护动物记者沙龙”成立。,2014及以前,en,45,跳到句段
拼写,短短三个月的时间，他们为该项目捐了65.5万。,2015冬季通讯,en,17,跳到句段
拼写,人民币账户： 北京爱它动物保护公益基金会,2015冬季通讯,en,58,跳到句段
拼写,今年的慈善月历义卖，共筹得4万余元的善款，我们还将部分月历赠送给支持者、志愿者、合作伙伴用于关系维护。,2015春季通讯,en,107,跳到句段
拼写,它基金“流浪动物救护车”项目在腾讯“99公益日”活动中三天捐了五十万！,2015秋季通讯,en,10,跳到句段
拼写,到今天我给您写这封信的时候，该项目已经收到七千多人的捐款近六十一万五千元。,2015秋季通讯,en,11,跳到句段
拼写,去年，也是九月，也是在腾讯乐捐平台，我们在“灰丝带”抗击狂犬病项目上只捐到了七万元。,2015秋季通讯,en,12,跳到句段
拼写,蔡国庆、成方圆、马艳丽、李艾、杨若兮等知名人士积极参与。,2014及以前,en,42,跳到句段
拼写,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
拼写,全国人大常委会高度重视，将法案的修订列入了人大常委会的修法计划。,2015春季通讯,en,51,跳到句段
拼写,此次关爱流浪动物的活动分别在深圳、成都、上海、天津、北京5个城市举办。,2014及以前,en,12,跳到句段
拼写,从2015年夏天开始，我们就与深圳华强数字动漫有限公司出品的《熊出没之熊心归来》讨论了公益宣传方面的合作。,2015冬季通讯,en,20,跳到句段
拼写,我们在北京图书大厦举行了新书发布会及现场签售活动。,2015夏季通讯,en,12,跳到句段
拼写,我们的理事长张越女士，著名编剧史航先生、北京人民广播电台著名主持人刘思伽女士以及它radio主播韩涛先生和来自不同地方的热心听众一起，朗读了它radio过往的精选节目，分享了他们各自与动物之间感人至深的故事。,2015秋季通讯,en,21,跳到句段
拼写,它基金联合腾讯公益慈善基金会在北京世贸天阶举行了世界野生动物保护日“手护行动”启动仪式，齐秦、李小冉、信联袂担任“手护大使”。,2014及以前,en,29,跳到句段
拼写,从2015年夏天开始，我们就与深圳华强数字动漫有限公司出品的《熊出没之熊心归来》讨论了公益宣传方面的合作。,2015冬季通讯,en,20,跳到句段
拼写,我们的理事长张越女士，著名编剧史航先生、北京人民广播电台著名主持人刘思伽女士以及它radio主播韩涛先生和来自不同地方的热心听众一起，朗读了它radio过往的精选节目，分享了他们各自与动物之间感人至深的故事。,2015秋季通讯,en,21,跳到句段
拼写,5月中旬，我们与动物保护组织“与牠同行”签署了战略合作协议，  双方决定在为流浪和救助动物提供绝育服务方面进行合作。,2015夏季通讯,en,20,跳到句段
拼写,如果您还没有访问过我们的新网站，别忘了去看看（tajijin.org）。,2015夏季通讯,en,24,跳到句段
拼写,tajijin.org,2015春季通讯,en,120,跳到句段
拼写,我们在北京图书大厦举行了新书发布会及现场签售活动。,2015夏季通讯,en,12,跳到句段
拼写,它基金联合腾讯公益慈善基金会在北京世贸天阶举行了世界野生动物保护日“手护行动”启动仪式，齐秦、李小冉、信联袂担任“手护大使”。,2014及以前,en,29,跳到句段
拼写,我们真是太忙了。,2015春季通讯,en,8,跳到句段
拼写,3月底，我们与HIS以及大连微善的工作人员讨论了开展实验动物福利的计划。,2015春季通讯,en,105,跳到句段
拼写,我们与青年艺术家顾湘合作制作了穿山甲主题T恤；在艺集文化  发展公司的帮助下，拍卖了青年雕塑家袁贝贝的穿山甲雕塑。,2015夏季通讯,en,17,跳到句段
拼写,著名歌手齐秦、萧敬腾、朱茵、康辉等热情地帮助宣传“灰丝带”行动。,2014及以前,en,9,跳到句段
拼写,《天鹅之痛》是著名鸟类摄影师、科普作家陈晓东先生的著作，曾经获得2014年科技部全国优秀科普作品。,2015春季通讯,en,68,跳到句段
拼写,它基金与陈晓东先生合作印刷出版了《天鹅之痛》的修订版，并邀请了中国野生动物保护协会副秘书长李青文作序。,2015春季通讯,en,69,跳到句段
拼写,另外，它基金还参与了陈晓东先生的另外一本书《鸟人鸟事》的出版工作。,2015春季通讯,en,71,跳到句段
拼写,执行秘书长 张小海,2015冬季通讯,en,55,跳到句段
拼写,张小海,2015夏季通讯,en,44,跳到句段
拼写,执行秘书长 张小海,2015秋季通讯,en,34,跳到句段
拼写,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
拼写,它基金联合腾讯公益慈善基金会在北京世贸天阶举行了世界野生动物保护日“手护行动”启动仪式，齐秦、李小冉、信联袂担任“手护大使”。,2014及以前,en,29,跳到句段
拼写,开户行： 中国工商银行北京阜外大街支行,2015冬季通讯,en,59,跳到句段
拼写,2015年3月9日，它基金创办了自己的音频节目，这是中国大陆第一家动物保护公益电台，在荔枝fm、喜马拉雅fm、蜻蜓fm等互联网音频平台上每天播出真实的动物情感故事。,2015春季通讯,en,63,跳到句段
拼写,/ 北京东城区新中东街3号东外公馆911室,2015冬季通讯,en,62,跳到句段
拼写,1. 10月31日，为了帮助它基金流浪动物救护车项目筹款，央华时代文化为它基金举办了《流浪狗之歌》亲子音乐剧义演活动，八百多名支持者到场观看演出；,2015冬季通讯,en,38,跳到句段
拼写,蔡国庆、成方圆、马艳丽、李艾、杨若兮等知名人士积极参与。,2014及以前,en,42,跳到句段
拼写,九月四日，国际人道对待动物协会项目主管何燕青女士为几十个孩子做了一次精彩的穿山甲保护讲座。,2015秋季通讯,en,24,跳到句段
拼写,11月底，它基金与如果宠物、艺典中国合作的“暖冬猫窝”行动圆满结束，我们用明星物品的拍款购置了100个猫窝，为冬日流浪猫送去温暖。,2015冬季通讯,en,42,跳到句段
拼写,我们与青年艺术家顾湘合作制作了穿山甲主题T恤；在艺集文化  发展公司的帮助下，拍卖了青年雕塑家袁贝贝的穿山甲雕塑。,2015夏季通讯,en,17,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,央视主持人、它基金理事康辉强调了活熊取胆这个行业不符合我们国家在十三五期间大力倡导的创新、协调、绿色、开放和共享的五大发展理念；前国家首席兽医师、中国兽医协会会长贾幼陵也以资深兽医的身份讲解了无管引流对黑熊健康造成的巨大伤害，他还呼吁兽医从业者都不要做这样伤害动物的事情。,2015冬季通讯,en,28,跳到句段
拼写,另外， 我们还与“院儿club”酒吧、“熊猫精酿”酒吧合作，举办了保,2015夏季通讯,en,18,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,它基金理事长为国际爱护动物基金会(IFAW)“拯救大象罗拉”项目拍摄的公益广告，呼吁保护野生动物是我们应尽的责任。,2014及以前,en,5,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,它基金理事、央视主持人张越、康辉，以及它基金第一任理事长、著名主持人李静参加了项目的启动仪式。,2015冬季通讯,en,14,跳到句段
拼写,它基金理事长张越赴非洲参与了国际爱护动物基金会的“保护大象罗拉”系列活动；,2015冬季通讯,en,40,跳到句段
拼写,理  事长张越和康辉等理事一起听取了执行团队的工作汇报和下半年的工作计划。,2015夏季通讯,en,32,跳到句段
拼写,它基金理事，央视著名主持人张越、康辉联名推荐了本书。,2015春季通讯,en,70,跳到句段
拼写,我们的理事长张越女士，著名编剧史航先生、北京人民广播电台著名主持人刘思伽女士以及它radio主播韩涛先生和来自不同地方的热心听众一起，朗读了它radio过往的精选节目，分享了他们各自与动物之间感人至深的故事。,2015秋季通讯,en,21,跳到句段
拼写,它基金请宇通专用车公司为它基金量身定做了一款设备设施完善的动物救护车，并邀请了“萌爪医生”团队担任这个救护车项目的执行伙伴。,2015冬季通讯,en,13,跳到句段
拼写,北京大学法学院教授湛中乐、中国人民大学法学院教授周珂等众多法学界专业人士和动物保护组织的代表共一百余人参加了这次会议。,2015春季通讯,en,34,跳到句段
拼写,它基金理事长为国际爱护动物基金会(IFAW)“拯救大象罗拉”项目拍摄的公益广告，呼吁保护野生动物是我们应尽的责任。,2014及以前,en,5,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,它基金理事、央视主持人张越、康辉，以及它基金第一任理事长、著名主持人李静参加了项目的启动仪式。,2015冬季通讯,en,14,跳到句段
拼写,它基金理事长张越赴非洲参与了国际爱护动物基金会的“保护大象罗拉”系列活动；,2015冬季通讯,en,40,跳到句段
拼写,执行秘书长 张小海,2015冬季通讯,en,55,跳到句段
拼写,理  事长张越和康辉等理事一起听取了执行团队的工作汇报和下半年的工作计划。,2015夏季通讯,en,32,跳到句段
拼写,张小海,2015夏季通讯,en,44,跳到句段
拼写,它基金理事，央视著名主持人张越、康辉联名推荐了本书。,2015春季通讯,en,70,跳到句段
拼写,我们的理事长张越女士，著名编剧史航先生、北京人民广播电台著名主持人刘思伽女士以及它radio主播韩涛先生和来自不同地方的热心听众一起，朗读了它radio过往的精选节目，分享了他们各自与动物之间感人至深的故事。,2015秋季通讯,en,21,跳到句段
拼写,执行秘书长 张小海,2015秋季通讯,en,34,跳到句段
拼写,开户行： 中国工商银行北京阜外大街支行,2015冬季通讯,en,59,跳到句段
拼写,还有一个好消息是，我们获得了浙江敦和慈善基金会设立的“敦和种子基金”的捐赠。,2015冬季通讯,en,32,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,3月11日，它基金与它基金长期的合作伙伴，著名动物保护人士莽萍女士一起，邀请了罗胜联、郑孝和两位全国人大代表以及二十余位记者朋友，举办了2015年第一次记者沙龙。,2015春季通讯,en,48,跳到句段
拼写,我们在北京图书大厦举行了新书发布会及现场签售活动。,2015夏季通讯,en,12,跳到句段
拼写,北京大学法学院教授湛中乐、中国人民大学法学院教授周珂等众多法学界专业人士和动物保护组织的代表共一百余人参加了这次会议。,2015春季通讯,en,34,跳到句段
拼写,北京大学法学院教授湛中乐、中国人民大学法学院教授周珂等众多法学界专业人士和动物保护组织的代表共一百余人参加了这次会议。,2015春季通讯,en,34,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
日期和数字,2014.12.31,2014及以前,en,2,跳到句段
日期和数字,2014.11.19,2014及以前,en,4,跳到句段
日期和数字,2014.9.28,2014及以前,en,7,跳到句段
日期和数字,2014.4.12,2014及以前,en,10,跳到句段
日期和数字,此次关爱流浪动物的活动分别在深圳、成都、上海、天津、北京5个城市举办。,2014及以前,en,12,跳到句段
日期和数字,2013.11.13,2014及以前,en,14,跳到句段
日期和数字,2013.8.23,2014及以前,en,17,跳到句段
日期和数字,2013.6.4,2014及以前,en,19,跳到句段
日期和数字,2012.12.31,2014及以前,en,24,跳到句段
日期和数字,2012.12.29,2014及以前,en,26,跳到句段
日期和数字,2012.5.22,2014及以前,en,28,跳到句段
日期和数字,2011.8.28,2014及以前,en,33,跳到句段
日期和数字,2011.5.29,2014及以前,en,35,跳到句段
日期和数字,2011.5.19,2014及以前,en,38,跳到句段
日期和数字,2010.6.5,2014及以前,en,40,跳到句段
日期和数字,2009.7.25,2014及以前,en,44,跳到句段
日期和数字,2015年12月30日到2016年1月29日，全国人大就《野生动物保护法》公开征求意见。,2015冬季通讯,en,9,跳到句段
日期和数字,12月20日，我们还实现了一个梦想。,2015冬季通讯,en,11,跳到句段
日期和数字,我们要感谢8500多位为我们捐款的朋友。,2015冬季通讯,en,16,跳到句段
日期和数字,短短三个月的时间，他们为该项目捐了65.5万。,2015冬季通讯,en,17,跳到句段
日期和数字,12月，我们在首都国际机场到达厅的电子大屏上发布了我们精心设计的、独特的穿山甲宣传海报，呼吁人们不要消费穿山甲。,2015冬季通讯,en,24,跳到句段
日期和数字,12月14日，归真堂在资本市场上第三次卷土重来，宣布申请登陆“新三板”。,2015冬季通讯,en,25,跳到句段
日期和数字,它基金于12月15日发表声明，并给新三板管理机构发函表示反对。,2015冬季通讯,en,26,跳到句段
日期和数字,12月24日，我们又召开了新闻发布会，呼吁包括归真堂在内的养熊企业转型。,2015冬季通讯,en,27,跳到句段
日期和数字,它radio自2015年3月开播以来，共编辑了20多万字的文字资料，播出有关动物保护的音频节目近200期，达到了16万人次的收听量，还有众多名人献声支持。,2015冬季通讯,en,31,跳到句段
日期和数字,1. 10月31日，为了帮助它基金流浪动物救护车项目筹款，央华时代文化为它基金举办了《流浪狗之歌》亲子音乐剧义演活动，八百多名支持者到场观看演出；,2015冬季通讯,en,38,跳到句段
日期和数字,2．,2015冬季通讯,en,39,跳到句段
日期和数字,3．,2015冬季通讯,en,41,跳到句段
日期和数字,11月底，它基金与如果宠物、艺典中国合作的“暖冬猫窝”行动圆满结束，我们用明星物品的拍款购置了100个猫窝，为冬日流浪猫送去温暖。,2015冬季通讯,en,42,跳到句段
日期和数字,最后还要向您报告的是，它基金于12月20日召开了理事会，总结了2015年的工作，批准了2016年的工作计划和预算。,2015冬季通讯,en,43,跳到句段
日期和数字,2016年1月14日,2015冬季通讯,en,56,跳到句段
日期和数字,4月11日，我们按计划推出了“它出版”项目的两本书籍：,2015夏季通讯,en,10,跳到句段
日期和数字,4月16日和17日，中国农业国际合作促进会动物福利国际合作委员 会（ICCAW）举办了“2015中欧生猪发展大会”。,2015夏季通讯,en,13,跳到句段
